2026-04-01 08:00:00 | Breakfast | 350 | 20 | 45 | 10
2026-04-01 10:30:00 | Snack | 150 | 5 | 20 | 5
2026-04-01 12:30:00 | Lunch | 600 | 35 | 60 | 20
2026-04-01 15:00:00 | Snack | 200 | 10 | 25 | 8
2026-04-01 19:00:00 | Dinner | 700 | 40 | 70 | 25
2026-04-02 07:30:00 | Breakfast | 400 | 22 | 50 | 12
2026-04-02 10:00:00 | Snack | 180 | 8 | 22 | 6
2026-04-02 13:00:00 | Lunch | 650 | 38 | 65 | 22
2026-04-02 16:30:00 | Snack | 220 | 12 | 28 | 10
2026-04-02 20:00:00 | Dinner | 720 | 42 | 72 | 27
2026-04-03 08:00:00 | Breakfast | 380 | 18 | 48 | 11
2026-04-03 11:00:00 | Snack | 160 | 6 | 21 | 5
2026-04-03 13:30:00 | Lunch | 610 | 33 | 62 | 21
2026-04-03 16:00:00 | Snack | 210 | 10 | 26 | 9
2026-04-03 19:30:00 | Dinner | 730 | 45 | 75 | 28
